ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates,iso_region_len
US-0649,small_airport,Martin Ranch Airport,1718.0,,US,US-TX,CARTA VALLEY,,,65TS,"-100.584071, 29.712308",5
US-0651,small_airport,El Tesoro Ranch Airport,334.0,,US,US-TX,CHARLOTTE,02TS,,02TS,"-98.723095, 28.662641",5
US-0654,small_airport,Northwood Airstrip,1275.0,,US,US-WI,WONEWOC,WI54,,WI54,"-90.285, 43.563054",5
US-0655,small_airport,Davis Field,1212.0,,US,US-KS,WINFIELD,2KS4,,2KS4,"-96.9603722, 37.255011",5
US-0656,small_airport,McMaster Gliderport,1403.0,,US,US-KS,WICHITA,29KS,,29KS,"-97.177341, 37.761289",5
US-0657,small_airport,Erickson Intergalactic Airport,1440.0,,US,US-SD,VALLEY SPRINGS,SD73,,SD73,"-96.517555, 43.584909",5
US-0658,small_airport,Weiss Acres Airport,1302.0,,US,US-KS,VIOLA,24KS,,24KS,"-97.603186, 37.524327",5
US-0660,small_airport,Brandes Air Field 2,130.0,,US,US-TX,SEALY,90TS,,90TS,"-96.139293, 29.85693",5
US-0661,small_airport,Chandler Ranch Airport,1929.0,,US,US-TX,SANDERSON,,,,"-101.736402, 30.456653",5
US-0662,small_airport,Dennys Playground Airport,1904.0,,US,US-NE,ROYAL,NE51,,NE51,"-98.124898, 42.304856",5
US-0665,small_airport,Rancho Deluxe Airport,1381.0,,US,US-TX,EDNA HILL,81TS,,81TS,"-98.3456028, 31.936408",5
US-0670,small_airport,Fairmount Airport,211.0,,US,US-TX,FAIRMOUNT,71TS,,71TS,"-93.701897, 31.218655",5
US-0671,small_airport,Glass Ranch Airport,2687.0,,US,US-TX,GARDEN CITY,TS13,,TS13,"-101.310836, 31.769777",5
US-0672,small_airport,Hibbs Airport,2446.0,,US,US-ID,GREENLEAF,ID97,,ID97,"-116.858425, 43.665112",5
US-0674,small_airport,Rollers Airport,1103.0,,US,US-OK,HENNESSEY,OK48,,OK48,"-97.848344, 36.155363",5
US-0675,small_airport,Bethel Field,1616.0,,US,US-OK,HINTON,OK61,,OK61,"-98.466788, 35.518193",5
US-0676,small_airport,Canadian River Corrientes Airport,1534.0,,US,US-OK,HINTON,OK10,,OK10,"-98.430188, 35.539377",5
US-0677,small_airport,Ricker Ranch Airport,1665.0,,US,US-OK,HINTON,46OK,,46OK,"-98.451627, 35.475144",5
US-0678,small_airport,Riegleman Field,950.0,,US,US-WI,HUSTISFORD,58WI,,58WI,"-88.558332, 43.338527",5
US-0679,small_airport,Entz Arts Airport,,,US,US-OK,HYDRO,,,,"0, 35.4499111",5
US-0680,small_airport,Entz Arts Airport,1688.0,,US,US-OK,HYDRO,16OK,,16OK,"-98.586213, 35.449911",5
US-0682,small_airport,J5 Mike Airport,680.0,,US,US-AL,WOODVILLE,4AL5,,4AL5,"-86.222286, 34.666347",5
US-0685,small_airport,Rocky Springs Airpark,649.0,,US,US-AL,BREMEN,AL30,,AL30,"-87.077074, 33.988596",5
US-0686,small_airport,Treeo Airport,130.0,,US,US-AL,DAPHNE,4AL3,,4AL3,"-87.822583, 30.591805",5
US-0688,small_airport,Fireweed Airport,1320.0,,US,US-AK,MCCARTHY,0AK8,,0AK8,"-142.97823, 61.42687",5
US-0689,small_airport,Entz Home Airport,1613.0,,US,US-OK,HYDRO,1OK2,,1OK2,"-98.5375167, 35.50288",5
US-0690,small_airport,Entz Oliver Airport,1570.0,,US,US-OK,HYDRO,1OK6,,1OK6,"-98.523183, 35.522072",5
US-0691,small_airport,South Farm Airport,1657.0,,US,US-OK,HYDRO,32OK,,32OK,"-98.615916, 35.499138",5
US-0695,small_airport,DJ Farm Airport,85.0,,US,US-FL,JASPER,FA93,,FA93,"-83.144233, 30.456136",5
US-0696,small_airport,Shank N Bank Airport,20.0,,US,US-TX,LA WARD,,,TX0,"-96.468189, 28.740058",5
US-0698,small_airport,Yancey Creek Ranch Airport,1421.0,,US,US-TX,LAMPASAS,1TX0,,1TX0,"-98.353051, 31.026952",5
US-0699,small_airport,2C Ranch Airport,475.0,,US,US-TX,LANEVILLE,10TS,,10TS,"-94.799815, 31.99788",5
US-0700,small_airport,Green Valley Farms Airport,1018.0,,US,US-OK,LEXINGTON,OK64,,OK64,"-97.336944, 34.976388",5
US-0702,small_airport,Roland Ranch Airport,614.0,,US,US-TX,LOCKHART,30TS,,30TS,"-97.768958, 29.848994",5
US-0703,small_airport,Matt Doyle Airpark,7.0,,US,US-TX,TEXAS CITY,55TE,,55TE,"-94.904466, 29.418272",5
US-0707,small_airport,Helling Airport,3853.0,,US,US-CO,IDALIA,CO08,,CO08,"-102.171795, 39.728102",5
US-0708,small_airport,McAlister Airpark,1322.0,,US,US-AR,MARBLE,1AR4,,1AR4,"-93.607222, 36.162222",5
US-0710,small_airport,Walnut Grove Airport,366.0,,US,US-PA,MOUNT JOY,19PN,,19PN,"-76.493138, 40.093043",5
US-0711,small_airport,Lemons Airstrip,1417.0,,US,US-OK,MARLOW,61OK,,61OK,"-97.928033, 34.683855",5
US-0713,small_airport,Trigger Gap Airport,1630.0,,US,US-AR,BERRYVILLE,,,17A,"-93.621944, 36.327777",5
US-0714,small_airport,Sandy Ridge Farms Airport,334.0,,US,US-AR,ASHDOWN,57AR,,57AR,"-94.241666, 33.660555",5
US-0715,small_airport,Etna Airport,536.0,,US,US-AR,OZARK,2AR1,,2AR1,"-93.84306, 35.369847",5
US-0716,small_airport,Pegasus Airpark,1155.0,,US,US-OK,GUTHRIE,74OK,,74OK,"-97.489284, 35.947724",5
US-0718,small_airport,Brown Airstrip,1330.0,,US,US-OK,MARLOW,OK81,,OK81,"-97.866694, 34.684141",5
US-0720,small_airport,CCR Field,5983.0,,US,US-UT,BLUEBELL,UT27,,UT27,"-110.20875, 40.303794",5
